source,listing_id,title,price,currency,year,fuel_type,transmission,creator,sector,mileage,brand,model,door_count,origin,first_owner,fiscal_power,condition,equipment,seller_city,image_folder,url,publication_date
avito,77969572,Range Rover Sport,225000,DH,2014,Diesel,Automatique,KHALID AUTO,Tanger,185000,Land Rover,Range Rover Sport,5,WW au Maroc,Non,12 CV,Excellent,"À vendre : Land Rover Range Rover Sport Diesel Automatique en excellent état.
- Kilométrage : 185 000 km
- Année-Modèle : 2014
- Puissance fiscale : 12 CV
- Carburant : Diesel
- Boîte de vitesses : Automatique
- Jantes aluminium
- Airbags
- Climatisation
- Toit ouvrant
- Système de navigation GPS
- Radar et caméra de recul
- Sièges en cuir
- Vitres électriques
- ABS ESP
- Limiteur et régulateur de vitesse
- Ordinateur de bord
- CD MP3 Bluetooth
- Verrouillage centralisé à distance
- 5 portes
- Origine : WW au Maroc

Contactez-moi pour plus d'informations.",Tanger,,https://www.avito.ma/fr/moujahidine/voitures_d_occasion/Range_Rover_Sport_58455995.htm,2026-08-13 14:04:23
avito,77969725,Audi q5 2 litres diesel automatique,85000,DH,2012,Diesel,Automatique,Particulier ,Sidi Abed,160000,BMW,Z3,N/A,N/A,N/A,8 CV,N/A,Particulier 1ère main sur commande importé Neuf avec carnet d'entretien suivi à la maison.,Sidi Abed,,https://www.avito.ma/fr/sidi_abed/voitures_d_occasion/Audi_q5_2_litres_diesel_automatique_58455985.htm,2026-08-13 14:04:04
avito,77969727,Ford Cmax diesel 2007,65000,DH,2007,Diesel,Manuelle,zghayda hafid,Khemisset,230000,Ford,C Max,5,N/A,N/A,7 CV,N/A,"La voiture est en bon état, le moteur est neuf, Dieu merci, il n'y a aucun problème. Pour les personnes intéressées, veuillez appeler.",Khemisset,,https://www.avito.ma/fr/khemisset/voitures_d_occasion/Ford_Cmax_diesel_2007_58455984.htm,2026-08-13 14:04:04
avito,76471130,Kia Niro dans le showroom Ryad Auto à Rabat,249000,DH,2024,Hybride,Automatique,Smeia - BMW MINI Occasion,Casablanca,20000,Kia,Niro,5,WW au Maroc,Oui,9 CV,Excellent,"Voiture pratiquement neuve.
Possède un moteur essence de 1,6 litre. La batterie se recharge automatiquement, ne nécessitant pas de branchement externe.
Associé à une transmission automatique à double embrayage à 6 vitesses.
Technologie : Inclut le Bluetooth, l'intégration Android Auto et Apple CarPlay, ainsi que des phares automatiques.",Casablanca,,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Kia_Niro_dans_le_showroom_Ryad_Auto_à_Rabat_57075655.htm,2026-08-13 14:00:57
avito,77969514,Hyundai accent mazout,82000,DH,2017,Diesel,Manuelle,rahim ,Chefchaouen,130,Hyundai,Accent,N/A,WW au Maroc,Oui,6 CV,Très bon,Hyundai accent mazout modèle 2017,Chefchaouen,,https://www.avito.ma/fr/chefchaouen/voitures_d_occasion/Hyundai_accent_mazout_58455981.htm,2026-08-13 14:03:46
avito,77969511,Bonne voiture,61000,DH,2005,Diesel,Manuelle,Driss Driss,Fès,200000,Citroën,C3,5,WW au Maroc,Non,5 CV,Bon,"Je mets en vente une Citroën C3 modèle 2005 en bon état.
- Jantes en aluminium
- Climatisation
- Vitres électriques
- Verrouillage centralisé à distance
- Type de carburant : Diesel
- Boîte de vitesses : Manuelle
- Droits de douane : Achetée au Maroc
- Nombre de portes : 5
- Puissance fiscale : 5 CV
Contactez-moi si vous êtes intéressé.",Fès,,https://www.avito.ma/fr/ben_souda/voitures_d_occasion/Bonne_voiture_58455979.htm,2026-08-13 14:03:40
avito,77857276,Mercedes-Benz Classe E 300 de – AMG Line Plus,,DH,2026,Hybride,Automatique,FIRANO CARS,Casablanca,N/A,Mercedes-Benz,Classe E,5,Importée neuve,Oui,8 CV,Neuf,"ÉQUIPEMENTS & OPTIONS:

• Roues arrière directrices
• Suspension pneumatique
• Caméra 360°
• Distronic plus
• Head-Up Display
• Jantes 20
• Angle mort
• Toit ouvrant
• Coffre électrique
• Sièges chauffants
• Sièges ventilés
• Sièges à mémoire
• Sonorisation Burmester
• Éclairage d’ambiance
• Attache-remorque électrique
• Climatisation 4 zones",Casablanca,,https://www.avito.ma/fr/maarif/voitures_d_occasion/Mercedes_Benz_Classe_E_300_de___AMG_Line_Plus_58350786.htm,2026-08-13 14:01:38
avito,77027085,BMW 420d 2015 Diesel BVA Cuir à Rabat,,DH,2015,Diesel,Automatique,ROYALCAR RABAT,Rabat,200000,BMW,Série 4,5,WW au Maroc,N/A,8 CV,Excellent,"ROYALCAR RABAT vous propose une BMW 420d modèle 2015 motorisation diesel équipée dune boîte automatique affichant 200000 km classée 8 CV vignette 1500 DH.

Berline coupé 4 portes combinant élégance sportivité et confort de conduite. Elle dispose dune sellerie cuir dune climatisation automatique bi zone ainsi que dun volant multifonctions avec régulateur et limiteur de vitesse.

Le véhicule est équipé de phares LED feux de jour LED caméra de recul aides au stationnement jantes aluminium 17 pouces modes de conduite système Start Stop démarrage bouton Start quatre vitres électriques ainsi que du système de contrôle de pression des pneus garantissant sécurité et confort au quotidien.

Véhicule bien équipé agréable à conduire et prêt à rouler.

📍 Google Maps Waze ROYALCAR RABAT",Rabat,,https://www.avito.ma/fr/hay_el_fath/voitures_d_occasion/BMW_420d_2015_Diesel_BVA_Cuir_à_Rabat_57574125.htm,2026-08-13 14:01:12
avito,77577179,VolksWagen Touareg Final Edition 2026,1400000,DH,2026,Diesel,Automatique,Mint Luxe Auto,Marrakech,N/A,Volkswagen,Touareg,5,Importée neuve,Non,18 CV,Neuf,"Je propose à la vente une VolksWagen Touareg Final Edition 2026.
- Kilométrage : 0
- Toute Option
Contactez-moi pour plus d'informations.",Marrakech,,https://www.avito.ma/fr/marrakech/voitures_d_occasion/VolksWagen_Touareg_Final_Edition_2026_58087278.htm,2026-08-13 13:59:44
avito,77753920,Skoda Scala,195000,DH,2022,Diesel,Manuelle,Voitures particuliers certifiées ,Casablanca,116500,Skoda,Scala,5,WW au Maroc,Oui,6 CV,Bon,"● Skoda Scala - 116500 km - année 2022 - première main 

● Véhicule en excellent état.

● La voiture a été expertisée suivant 100 points de contrôles.",Casablanca,,https://www.avito.ma/fr/sidi_othmane/voitures_d_occasion/Skoda_Scala_58254067.htm,2026-08-13 13:59:39
avito,77541661,Range Rover Sport Essence SVR,,DH,2016,Essence,Automatique,abdelilah,Nador,126000,Land Rover,Range Rover Sport,5,Importée neuve,Non,28 CV,Très bon,Range Rover Sport essence modèle 2016/08 full option possible de reprise,Nador,,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Range_Rover_Sport_Essence_SVR_58053864.htm,2026-08-13 13:59:19
avito,77734415,BMW X6 M Edition Diesel Automatique 2022 à Agadir,,DH,2022,Diesel,Automatique,Auto Pro ,Agadir,135000,BMW,X6,5,WW au Maroc,Non,12 CV,Excellent,"Je vends une BMW X6 M Edition en excellent état. Full Option 
- Année-Modèle : 2022
- Kilométrage : 135 000 km
- Carburant : Diesel
- Boîte de vitesses : Automatique
- Puissance fiscale : 12 CV
- Origine : WW au Maroc
- Couleur : Noire
- Nombre de portes : 5
- Sièges en cuir
- Toit ouvrant
- Système de navigation GPS
- Caméra et radar de recul
- Limiteur et régulateur de vitesse
- Airbags
- ABS, ESP
- Climatisation
- Vitres électriques
- Verrouillage centralisé à distance
- Ordinateur de bord
- Jantes aluminium
- Lecteur CD/MP3/Bluetooth
Contactez-moi pour plus d'informations.",Agadir,,https://www.avito.ma/fr/el_houda/voitures_d_occasion/BMW_X6_M_Edition_Diesel_Automatique_2022_à_Agadir_58235852.htm,2026-08-13 13:59:15
avito,77873586,Mercedes Benz Classe S350d Long Pack AMG 2016,,DH,2016,Diesel,Automatique,Auto SALA EL JADIDA,Rabat,117000,Mercedes-Benz,Classe S,5,Importée neuve,Oui,11 CV,Neuf,"Auto sala el JADIDA met en vente une Mercedes Benz Classe S350d Long Pack Diesel 
3.0L V6 Bluetech 258ch  
Modèle 2016 importé neuf faible km 
1er main particulier 
Peinture originale 
Km certifié 
Suivi chez Mercedes auto nejma 
4 pneus neufs runflat 

On acceptent la reprise également 
Notre localisation est disponible sur Google Maps et Waze",Rabat,,https://www.avito.ma/fr/agdal/voitures_d_occasion/Mercedes_Benz_Classe_S350d_Long_Pack_AMG_2016_58366167.htm,2026-08-13 13:59:57
avito,76019051,Audi Q3 s line,,DH,2020,Diesel,Automatique,Supreme auto,Casablanca,90000,Audi,Q3,5,Dédouanée,Oui,8 CV,Très bon,"Supreme Auto met en vente une Audi Q3 s line 

Année : 2020 dd 2023

Carburant : diesel 

Kilométrage : 90000  km

Boîte de vitesses : automatique 

Chevaux fiscaux : 8

Clés : Double clé disponible

avec une garantie sur les 10 000 km plus un vidange gratuit de 10 000km plus frais de dossier avec une possibilité de reprise ,Contactez-nous dès maintenant pour réserver votre essai ou obtenir plus d'Informations.",Casablanca,,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Audi_Q3_s_line_56674144.htm,2026-08-13 13:59:56
avito,77688765,Jeep Compass Essence Automatique 2022 à Rabat,,DH,2022,Essence,Automatique,Auto Rachid,Rabat,80000,Jeep,Compass,5,WW au Maroc,Oui,6 CV,Excellent,"Le Jeep Compass est un SUV compact qui combine un design robuste, un intérieur confortable et des technologies modernes. Il offre une position de conduite surélevée, un habitacle spacieux et de nombreux équipements d'aide à la conduite. Selon les versions, il est disponible avec différentes motorisations, si vous voulez plus d’informations Nous sommes à votre disposition pour vous fournir tous les détails nécessaires.",Rabat,,https://www.avito.ma/fr/hay_el_fath/voitures_d_occasion/Jeep_Compass_Essence_Automatique_2022_à_Rabat_58192757.htm,2026-08-13 13:59:54
avito,76757319,Mercedes-Benz Classe C Diesel Automatique 2021,,DH,2021,Diesel,Automatique,Auto Rachid,Rabat,88000,Mercedes-Benz,Classe C,5,Dédouanée,Oui,8 CV,Excellent,"Auto Rachid met en vente la Mercedes-Benz Classe C Diesel Automatique 2021 Dédouanée 2023 pour plus d’informations veuillez nous contacter, nous sommes à votre service ,",Rabat,,https://www.avito.ma/fr/hay_el_fath/voitures_d_occasion/Mercedes_Benz_Classe_C_Diesel_Automatique_2021_57326588.htm,2026-08-13 13:59:49
avito,69952869,Hyundai Tucson,,DH,2021,Diesel,Automatique,Auto Rachid,Rabat,140,Hyundai,Tucson,5,WW au Maroc,Oui,6 CV,Excellent,"Auto RACHID met en vente la Hyundai Tucson. Cette voiture est en excellent état, tant sur le plan mécanique qu’esthétique. Elle présente une carrosserie propre, avec une peinture brillante bien entretenue. L’intérieur est soigné, les sièges sont en parfait état, sans déchirure ni tache, et les matériaux utilisés sont de qualité, offrant confort et durabilité. Pour plus d'informations, veuillez nous contacter.",Rabat,,https://www.avito.ma/fr/hay_al_farah/voitures_d_occasion/Hyundai_Tucson_52300935.htm,2026-08-13 13:59:45
avito,77925893,Audi Q8 (Importée Neuve) 2022,,DH,2022,Diesel,Automatique,FIRANO CARS,Casablanca,69000,Audi,Q8,5,Importée neuve,Oui,12 CV,Excellent,"Véhicule en excellent état, avec un très bon niveau d’équipement, idéal pour ceux qui recherchent confort, puissance et espace au quotidien.",Casablanca,,https://www.avito.ma/fr/maarif/voitures_d_occasion/Audi_Q8__Importée_Neuve__2022_58415061.htm,2026-08-13 13:59:37
avito,63777611,RENAULT Express 2023 à Rabat,,DH,2023,Diesel,Manuelle,Auto Arfoud,Rabat,54000,Renault,Express,5,WW au Maroc,Non,6 CV,Très bon,"Bonjour
Je mets en vente une voiture RENAULT Express 2023 diesel très bon état disponible à salé el jadida",Rabat,,https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/RENAULT_Express_2023_à_Rabat_48383315.htm,2026-08-13 13:59:33
avito,76816631,Land Rover Range Rover Sport Diesel Automatique,,DH,2018,Diesel,Automatique,Supreme auto,Casablanca,140000,Land Rover,Range Rover Sport,5,Importée neuve,Oui,12 CV,Très bon,"Supreme Auto met en vente une Range Rover sport 

Année : 2018

Carburant : diesel 

Kilométrage : 140000 km

Boîte de vitesses : automatique 

Chevaux fiscaux : 12

Clés : Double clé disponible

avec une garantie sur les 10 000 km plus un vidange gratuit de 10 000km plus frais de dossier avec une possibilité de reprise ,Contactez-nous dès maintenant pour réserver votre essai ou obtenir plus d'Informations.",Casablanca,,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Land_Rover_Range_Rover_Sport_Diesel_Automatique_57379536.htm,2026-08-13 13:59:32
avito,75592921,Volkswagen touran R line,,DH,2026,Diesel,Automatique,Supreme auto,Casablanca,140000,Volkswagen,Touran,5,Dédouanée,Oui,8 CV,Très bon,"Supreme Auto met en vente une Volkswagen touran R line 

Année : 2019 dd 2026

Carburant : diesel 

Kilométrage : 140000 km

Boîte de vitesses : automatique 

Chevaux fiscaux : 8

Clés : Double clé disponible

avec une garantie sur les 10 000 km plus un vidange gratuit de 10 000km plus frais de dossier avec une possibilité de reprise ,Contactez-nous dès maintenant pour réserver votre essai ou obtenir plus d'Informations.",Casablanca,,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Volkswagen_touran_R_line_56313500.htm,2026-08-13 13:59:26
avito,77445248,Audi Q3 S LINE,,DH,2021,Diesel,Automatique,narsa'r auto,Oujda,190000,Audi,Q3,5,Dédouanée,Oui,8 CV,Excellent,"AUDI Q3 S LINE 
 MODÈLE 2021
DOUANE 05/2026
IMMATRICULATION SALE
190000KM
FULL OPTION",Oujda,,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Audi_Q3_S_LINE_57963318.htm,2026-08-13 13:58:24
avito,76036680,Mercedes-Benz c 220d pack AMG,,DH,2024,Diesel,Automatique,Supreme auto,Casablanca,50000,Mercedes-Benz,Classe C,5,Dédouanée,Oui,8 CV,Excellent,"Supreme Auto met en vente une Mercedes benz c 220d pack Amg

Année : 2023 dd 2024

Carburant : Diesel

Kilométrage : 50000 km

Boîte de vitesses : automatique

Chevaux fiscaux : 8

Clés : Double clé disponible

avec une garantie sur les 10 000 km plus un vidange gratuit de 10 000km plus frais de dossier avec une possibilité de reprise ,Contactez-nous dès maintenant pour réserver votre essai ou obtenir plus d'Informations.",Casablanca,,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Mercedes_Benz_c_220d_pack_AMG_56686393.htm,2026-08-13 13:59:21
avito,58090995,Audi - A4,,DH,2021,Diesel,Automatique,Auto Rachid,Rabat,76000,Audi,A4,5,WW au Maroc,Oui,8 CV,Excellent,"Auto Rachid mise en vente. Audi A4 Diesel toutes options. Pour plus d'informations, veuillez nous contacter.",Rabat,,https://www.avito.ma/fr/hay_el_fath/voitures_d_occasion/Audi___A4_44519282.htm,2026-08-13 13:59:13
avito,77402554,Mercedes Benz GLC 300d pack AMG,,DH,2020,Diesel,Automatique,Supreme auto,Casablanca,86000,Mercedes-Benz,Classe GLC,5,WW au Maroc,Oui,8 CV,Très bon,"Supreme Auto met en vente une Mercedes benz classe GLC 300d pack AMG

Année : 2020

Carburant : diesel

Kilométrage : 85000 km

Boîte de vitesses : automatique

Chevaux fiscaux : 8

Clés : Double clé disponible

avec une garantie sur les 10 000 km plus un vidange gratuit de 10 000km plus frais de dossier avec une possibilité de reprise ,Contactez-nous dès maintenant pour réserver votre essai ou obtenir plus d'Informations.",Casablanca,,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Mercedes_Benz_GLC_300d_pack_AMG_57924432.htm,2026-08-13 13:59:08
avito,76761369,Mercedes GLE,,DH,2016,Diesel,Automatique,Auto Rachid,Rabat,250,Mercedes-Benz,Classe GLE,5,WW au Maroc,Oui,8 CV,Excellent,"Auto Rachid met en vente la Mercedes GLE Diesel Automatique 2016. Pour plus d’informations veuillez nous contacter, nous sommes à votre service.",Rabat,,https://www.avito.ma/fr/hay_el_fath/voitures_d_occasion/Mercedes_GLE_57330057.htm,2026-08-13 13:58:57
avito,77621148,Hyundai Santa Fe,249000,DH,2018,Diesel,Automatique,Voitures particuliers certifiées ,Casablanca,146400,Hyundai,Santa Fe,5,WW au Maroc,Non,9 CV,Bon,"● Hyundai Santa Fe - 2.2 CRDI 200 - 146400 km - Année 11/2018.

● Véhicule en excellent état.

● La voiture a été expertisée suivant 100 points de contrôles.",Casablanca,,https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Hyundai_Santa_Fe_58129372.htm,2026-08-13 13:57:53
avito,77564621,Peugeot 508,239000,DH,2020,Diesel,Automatique,Voitures particuliers certifiées ,Casablanca,61200,Peugeot,508,5,WW au Maroc,Non,8 CV,Bon,"● Peugeot 508 - 2.0 HDI 180 EAT8 GT-LINE- 180 chevaux- 61200km- année 08/2020 en vente.

● Véhicule en excellent état.

● La voiture a été expertisée suivant 50 points de contrôles.

● Le rapport d’expertise détaillé est disponible sur demande, garantissant la qualité et la fiabilité du véhicule.

Veuillez nous contacter pour plus d'informations ou pour voir le véhicule.",Casablanca,,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Peugeot_508_58075388.htm,2026-08-13 13:57:53
avito,77805956,BMW X6 Diesel Automatique 2021 à Tétouan,650000,DH,2021,Diesel,Automatique,Driss,Tétouan,100000,BMW,X6,5,WW au Maroc,Oui,12 CV,Excellent,"À vendre BMW X6 Diesel Automatique de 2021 en excellent état 1ere main entretien maison BMW.
- Kilométrage : 100 000 km
- Jantes aluminium
- Airbags
- Climatisation
- Système de navigation GPS
- Toit ouvrant
- ESP
- ABS
- Vitres électriques
- Caméra de recul
- Radar de recul
- Sièges en cuir
- Régulateur de vitesse
- Verrouillage centralisé à distance
- Limiteur de vitesse
- Lecteur CD MP3 Bluetooth
- Ordinateur de bord
- Marque BMW
- Modèle X6
- Année 2021
- Puissance fiscale 12 CV
- Carburant Diesel
- Boîte de vitesses Automatique
- Origine WW Maroc
- 5 portes
- Première main
Contactez-moi pour plus d'informations.",Tétouan,,https://www.avito.ma/fr/wilaya/voitures_d_occasion/BMW_X6_Diesel_Automatique_2021_à_Tétouan_58302830.htm,2026-08-13 09:48:31
avito,77834357,Ferrari 296 GTB Noire,,DH,2026,Hybride,Automatique,Anas ,Marrakech,1056,Ferrari,296,3,Importée neuve,Oui,6 CV,Excellent,"À vendre Ferrari 296 GTB, dans une superbe configuration noir intégral, associant élégance, sportivité et discrétion.

Véhicule dans un état exceptionnel, soigneusement entretenu et présentant une configuration particulièrement réussie :

* Carrosserie noire
* Jantes Ferrari noires
* Étriers de frein rouges
* Intérieur sportif haut de gamme
* Motorisation hybride V6 Ferrari – 830 ch
* Boîte automatique double embrayage
* Véhicule disponible à Marrakech

Une Ferrari spectaculaire, aussi impressionnante par ses performances que par sa ligne.

Prix : sur demande / à débattre sérieusement.
Curieux et intermédiaires, merci de s’abstenir.",Marrakech,,https://www.avito.ma/fr/marrakech/voitures_d_occasion/Ferrari_296_GTB_Noire_58329421.htm,2026-08-12 22:29:05
avito,77359889,1ère main E 220D CABRIOLET AMG LINE 43.000KM,625000,DH,2019,Diesel,Automatique,LAACHIRI AUTO,Tanger,40000,Mercedes-Benz,Classe E,3,Importée neuve,Oui,9 CV,Excellent,"Je mets en vente une très belle MERCEDES classe E CABRIOLET 220d AMG line plus la full de la gamme modèle FIN 2018 importée neuve sur commande 1ÈRE MAIN , avec 43.000 km certifié MAISON avec facture d'entretien complet disponible, Dernier entretien général fait en Mai/2026.
Bleu ROYAL avec capote bleu clair.
Ouverture et fermeture de la CAPOTE à distance en roulant.
Boîte automatique.
Palettes au volant.
Head up display (double tableau).
Keyless go empreinte (ouverture et fermeture sans clé).
AIRSCARF (Chauffage de nuque).
AIRCAP (protection aérodynamique pare-brise et store arrière).
Parktronic 360.
5 Caméras 360.
Distronic plus (freinage d'urgence).
Distronic arrière.
Assistant de régulation de distance.
Park assist (stationnement automatique).
Lecture des plaques.
Angle mort.
Chargeur téléphone sans fil.
Horloge MERCEDES.
Soft close.
Sièges électriques à 3 mémoires avec fonction lombaire.
Sièges chauffants.
Ceinture de sécurité électrique.
Réglage volant électrique.
Easy entry.
Jante multibranche AMG 20 avec pneus RUNFLAT.
Pack Éclairage d'ambiance avec choix mixte.
Projecteurs MULTIBEAM LED bleus. Intelligent light system.
Feux arrière diamant led.
Sonorisation BURMESTER Pro avant et arrière.
Toutes les révisions sont faites.
La voiture est dans un état irréprochable ni aucun frais à prévoir.
La voiture est disponible au SHOWROOM LAACHIRI AUTO",Tanger,,https://www.avito.ma/fr/californie/voitures_d_occasion/1ère_main_E_220D_CABRIOLET_AMG_LINE_43_000KM_57885117.htm,2026-08-12 21:26:04
avito,75316118,Mercedes Benz cla 220d pack AMG,,DH,2026,Diesel,Automatique,Supreme auto,Casablanca,20000,Mercedes-Benz,Classe CLA,5,Dédouanée,Oui,8 CV,Excellent,"Supreme Auto met en vente une Mercedes benz cla 220d pack AMG

Année : 2024 dd 2026

Carburant : Diesel

Kilométrage : 20000 km

Boîte de vitesses : automatique

Chevaux fiscaux : 8

Clés : Double clé disponible

avec une garantie sur les 10 000 km plus un vidange gratuit de 10 000km plus frais de dossier avec une possibilité de reprise ,Contactez-nous dès maintenant pour réserver votre essai ou obtenir plus d'Informations.",Casablanca,,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Mercedes_Benz_cla_220d_pack_AMG_56086937.htm,2026-08-13 13:58:51
